randomtestcard2.c:
RANDOM TESTING: cutpurse 
SEED 1804289383 FAIL: Player's coins increased = 0, expected = 2
SEED 1804289383 FAIL: Player's copper = 143, expected = 2
SEED 1804289383 FAIL: Player's copper = 108, expected = 2
SEED 1660038320 FAIL: Player's coins increased = 0, expected = 2
SEED 1660038320 FAIL: Player's copper = 137, expected = 2
SEED 1660038320 FAIL: Player's copper = 150, expected = 2
SEED 1660038320 FAIL: Player's copper = 144, expected = 2
SEED 1388103241 FAIL: Player's coins increased = 0, expected = 2
SEED 1388103241 FAIL: Player's copper = 141, expected = 2
SEED 1537864921 FAIL: Player's coins increased = 0, expected = 2
SEED 1537864921 FAIL: Player's copper = 58, expected = 2
SEED 1537864921 FAIL: Player's copper = 60, expected = 2
SEED 1537864921 FAIL: Player's copper = 63, expected = 2
SEED 361520407 FAIL: Player's coins increased = 0, expected = 2
SEED 361520407 FAIL: Player's copper = 57, expected = 2
SEED 361520407 FAIL: Player's copper = 56, expected = 2
SEED 1590735306 FAIL: Player's coins increased = 0, expected = 2
SEED 1590735306 FAIL: Player's copper = 11, expected = 2
SEED 1590735306 FAIL: Player's copper = 14, expected = 2
SEED 1590735306 FAIL: Player's copper = 25, expected = 2
SEED 183104812 FAIL: Player's coins increased = 0, expected = 2
SEED 183104812 FAIL: Player's copper = 117, expected = 2
SEED 183104812 FAIL: Player's copper = 108, expected = 2
SEED 183104812 FAIL: Player's copper = 107, expected = 2
SEED 668439097 FAIL: Player's coins increased = 0, expected = 2
SEED 668439097 FAIL: Player's copper = 42, expected = 2
SEED 729983394 FAIL: Player's coins increased = 0, expected = 2
SEED 729983394 FAIL: Player's copper = 82, expected = 2
SEED 729983394 FAIL: Player's copper = 96, expected = 2
SEED 729983394 FAIL: Player's copper = 70, expected = 2
SEED 1749807866 FAIL: Player's coins increased = 0, expected = 2
SEED 1749807866 FAIL: Player's copper = 151, expected = 2
SEED 1749807866 FAIL: Player's copper = 138, expected = 2
SEED 1749807866 FAIL: Player's copper = 143, expected = 2
SEED 1658668874 FAIL: Player's coins increased = 0, expected = 2
SEED 1658668874 FAIL: Player's copper = 90, expected = 2
SEED 437574703 FAIL: Player's coins increased = -1, expected = 2
SEED 437574703 FAIL: Player's copper = 76, expected = 2
SEED 437574703 FAIL: Player's copper = 84, expected = 2
SEED 1871279081 FAIL: Player's coins increased = -1, expected = 2
SEED 1871279081 FAIL: Player's copper = 28, expected = 2
SEED 1451055420 FAIL: Player's coins increased = 0, expected = 2
SEED 1451055420 FAIL: Player's copper = 7, expected = 2
SEED 1451055420 FAIL: Player's copper = 0, expected = 2
SEED 1451055420 FAIL: Player's copper = 5, expected = 2
SEED 1394331627 FAIL: Player's coins increased = 0, expected = 2
SEED 1394331627 FAIL: Player's copper = 19, expected = 2
SEED 1096332304 FAIL: Player's coins increased = 0, expected = 2
SEED 1096332304 FAIL: Player's copper = 93, expected = 2
SEED 1184881355 FAIL: Player's coins increased = 0, expected = 2
SEED 1184881355 FAIL: Player's copper = 118, expected = 2
SEED 1184881355 FAIL: Player's copper = 90, expected = 2
SEED 1184881355 FAIL: Player's copper = 122, expected = 2
SEED 2032283285 FAIL: Player's coins increased = 0, expected = 2
SEED 2032283285 FAIL: Player's copper = 116, expected = 2
SEED 2032283285 FAIL: Player's copper = 120, expected = 2
SEED 2032283285 FAIL: Player's copper = 111, expected = 2
SEED 765654974 FAIL: Player's coins increased = 0, expected = 2
SEED 765654974 FAIL: Player's copper = 87, expected = 2
SEED 765654974 FAIL: Player's copper = 87, expected = 2
SEED 1881574764 FAIL: Player's coins increased = 0, expected = 2
SEED 1881574764 FAIL: Player's copper = 4, expected = 2
SEED 1881574764 FAIL: Player's copper = 4, expected = 2
SEED 1111980378 FAIL: Player's coins increased = 0, expected = 2
SEED 1111980378 FAIL: Player's copper = 100, expected = 2
SEED 1111980378 FAIL: Player's copper = 83, expected = 2
SEED 480350126 FAIL: Player's coins increased = 0, expected = 2
SEED 480350126 FAIL: Player's copper = 28, expected = 2
SEED 2097647419 FAIL: Player's coins increased = 0, expected = 2
SEED 2097647419 FAIL: Player's copper = 52, expected = 2
SEED 2097647419 FAIL: Player's copper = 58, expected = 2
SEED 2097647419 FAIL: Player's copper = 60, expected = 2
SEED 83363427 FAIL: Player's coins increased = 0, expected = 2
SEED 83363427 FAIL: Player's copper = 94, expected = 2
SEED 83363427 FAIL: Player's copper = 92, expected = 2
SEED 83363427 FAIL: Player's copper = 106, expected = 2
SEED 1039558941 FAIL: Player's coins increased = 0, expected = 2
SEED 1039558941 FAIL: Player's copper = 119, expected = 2
SEED 1039558941 FAIL: Player's copper = 107, expected = 2
SEED 1008578592 FAIL: Player's coins increased = -1, expected = 2
SEED 1008578592 FAIL: Player's copper = 152, expected = 2
